protein	TCGA-AF-2689-01A-21-1932-20	TCGA-AF-2690-01A-11-1932-20	TCGA-AF-3400-01A-21-1932-20	TCGA-AF-3913-01A-11-1933-20	TCGA-AF-3914-01A-21-1933-20	TCGA-AF-5654-01A-41-1936-20	TCGA-AF-6136-01A-13-1934-20	TCGA-AF-6655-01A-13-1935-20	TCGA-AF-6672-01A-41-1936-20	TCGA-AF-A56N-01A-21-A45G-20	TCGA-AG-3574-01A-21-1932-20	TCGA-AG-3578-01A-21-1932-20	TCGA-AG-3580-01A-21-1932-20	TCGA-AG-3581-01A-21-1932-20	TCGA-AG-3582-01A-21-1932-20	TCGA-AG-3583-01A-21-1932-20	TCGA-AG-3584-01A-21-1932-20	TCGA-AG-3586-01A-11-1932-20	TCGA-AG-3587-01A-21-1932-20	TCGA-AG-3591-01A-21-1932-20	TCGA-AG-3593-01A-21-1932-20	TCGA-AG-3594-01A-11-1932-20	TCGA-AG-3598-01A-21-1932-20	TCGA-AG-3599-01A-11-1932-20	TCGA-AG-3600-01A-21-1932-20	TCGA-AG-3601-01A-21-1932-20	TCGA-AG-3602-01A-11-1932-20	TCGA-AG-3605-01A-21-1932-20	TCGA-AG-3609-01A-11-1932-20	TCGA-AG-3612-01A-21-1932-20	TCGA-AG-3725-01A-12-1932-20	TCGA-AG-3727-01A-21-1932-20	TCGA-AG-3731-01A-12-1932-20	TCGA-AG-3742-01A-12-1932-20	TCGA-AG-3878-01A-11-1933-20	TCGA-AG-3881-01A-21-1933-20	TCGA-AG-3882-01A-21-1933-20	TCGA-AG-3885-01A-21-1933-20	TCGA-AG-3891-01A-21-1933-20	TCGA-AG-3893-01A-21-1933-20	TCGA-AG-3896-01A-21-1933-20	TCGA-AG-3898-01A-21-1933-20	TCGA-AG-3901-01A-21-1933-20	TCGA-AG-3902-01A-21-1933-20	TCGA-AG-4001-01A-11-1933-20	TCGA-AG-4005-01A-21-1933-20	TCGA-AG-4007-01A-21-1933-20	TCGA-AG-4008-01A-21-1933-20	TCGA-AG-4015-01A-21-1933-20	TCGA-AG-4021-01A-21-1933-20	TCGA-AG-4022-01A-21-1933-20	TCGA-AG-A002-01A-31-A17N-20	TCGA-AG-A008-01A-31-A17N-20	TCGA-AG-A00C-01A-31-A17N-20	TCGA-AG-A00H-01A-21-A17N-20	TCGA-AG-A00Y-01A-11-A17N-20	TCGA-AG-A011-01A-31-A17N-20	TCGA-AG-A014-01A-11-A17N-20	TCGA-AG-A015-01A-31-A17N-20	TCGA-AG-A016-01A-31-A17N-20	TCGA-AG-A01J-01A-21-A17N-20	TCGA-AG-A01N-01A-31-A17N-20	TCGA-AG-A01W-01A-31-A17N-20	TCGA-AG-A01Y-01A-51-A17N-20	TCGA-AG-A020-01A-31-A17N-20	TCGA-AG-A023-01A-21-A17N-20	TCGA-AG-A026-01A-41-A17N-20	TCGA-AG-A02G-01A-31-A17N-20	TCGA-AG-A02N-01A-21-A17N-20	TCGA-AG-A02X-01A-31-A17N-20	TCGA-AG-A036-01A-21-A17N-20	TCGA-AH-6544-01A-13-1935-20	TCGA-AH-6547-01A-13-1935-20	TCGA-AH-6549-01A-13-1935-20	TCGA-AH-6643-01A-13-1935-20	TCGA-AH-6644-01A-13-1935-20	TCGA-AH-6897-01A-13-1936-20	TCGA-BM-6198-01A-13-1934-20	TCGA-CI-6621-01A-13-1935-20	TCGA-CL-5918-01A-21-1934-20	TCGA-DC-4745-01A-31-1936-20	TCGA-DC-4749-01A-31-1936-20	TCGA-DC-5337-01A-21-1933-20	TCGA-DC-5869-01A-21-1934-20	TCGA-DC-6155-01A-13-1934-20	TCGA-DC-6156-01A-13-1934-20	TCGA-DC-6157-01A-13-1934-20	TCGA-DC-6158-01A-13-1934-20	TCGA-DC-6160-01A-13-1934-20	TCGA-DC-6681-01A-13-1935-20	TCGA-DC-6682-01A-13-1935-20	TCGA-DC-6683-01A-13-1935-20	TCGA-DT-5265-01A-22-1933-20	TCGA-DY-A0XA-01A-21-A17N-20	TCGA-DY-A1DC-01A-21-A17N-20	TCGA-DY-A1DD-01A-11-A17N-20	TCGA-DY-A1DE-01A-21-A17N-20	TCGA-DY-A1DF-01A-21-A17N-20	TCGA-DY-A1DG-01A-21-A17N-20	TCGA-DY-A1H8-01A-31-A17N-20	TCGA-EF-5830-01A-21-1934-20	TCGA-EF-5831-01A-21-1934-20	TCGA-EI-6506-01A-13-1934-20	TCGA-EI-6507-01A-13-1934-20	TCGA-EI-6508-01A-13-1934-20	TCGA-EI-6509-01A-13-1934-20	TCGA-EI-6510-01A-13-1934-20	TCGA-EI-6511-01A-13-1935-20	TCGA-EI-6512-01A-13-1935-20	TCGA-EI-6513-01A-13-1935-20	TCGA-EI-6514-01A-13-1935-20	TCGA-EI-6881-01A-13-1936-20	TCGA-EI-6882-01A-13-1936-20	TCGA-EI-6884-01A-13-1936-20	TCGA-EI-6885-01A-13-1936-20	TCGA-EI-6917-01A-13-1936-20	TCGA-F5-6464-01A-13-1934-20	TCGA-F5-6465-01A-13-1934-20	TCGA-F5-6571-01A-23-1935-20	TCGA-F5-6702-01A-13-1935-20	TCGA-F5-6811-01A-13-1935-20	TCGA-F5-6812-01A-13-1935-20	TCGA-F5-6813-01A-13-1935-20	TCGA-F5-6861-01A-13-1936-20	TCGA-F5-6863-01A-13-1936-20	TCGA-F5-6864-01A-13-1936-20	TCGA-G5-6233-01A-23-1934-20	TCGA-G5-6235-01A-13-1934-20	TCGA-G5-6572-01A-23-1935-20	TCGA-G5-6572-01A-24-2214-20	TCGA-G5-6572-02A-13-2189-20	TCGA-G5-6641-01A-13-1935-20
YWHAB|14-3-3_beta-R-V	-0.44820896125	0.251091568	-0.16274332	-0.0232537445000001	0.21026337625	-0.0937029967499997	0.344337353	-0.0492253517499998	-0.025758536	-0.639411814	0.199939658	-0.0173179737499997	-0.0820802317499999	0.0399943332500002	0.0548126689999999	0.279799542	-0.0868141957499998	-0.0779234222499999	-0.0976085907500002	-0.294500651	-0.0742247107499997	-0.0644834759999998	0.00296480625000006	-0.22002948175	-0.0486358089999995	-0.0823866857499999	-0.13326079025	-0.1149719835	-0.236785897	0.0117003	-0.0133201942499999	-0.2559838395	-0.1399026525	-0.437180359	-0.2766585385	-0.22501329375	0.17436522875	-0.139295653	-0.0486323749999999	0.383274523	-0.08855658225	0.23350265525	-0.0431079489999998	0.0794626225	-0.1099226365	-0.1511574525	-0.13311085475	-0.0293757505	-0.1386072635	-0.3241591605	0.1038920975	-0.0956337082499997	0.0677929837500002	0.29647232825	0.38911701575	0.0141719975000001	0.1583994625	0.0957170717500002	-0.2380542675	0.34583018175	0.0392127127500001	0.31351710125	-0.10422756025	0.16456531125	-0.26277655725	0.0803529972500003	0.109112864	0.18898343725	-0.1968843035	0.0881103235000001	-0.0631634537499999	0.3007927555	0.335559762	-0.217008165	-0.161780058	-0.0632827267499997	-0.29542448275	0.15196160125	-0.2108220185	0.46848515375	0.0864074157500002	0.206010069	-0.06058909225	0.0587760227500002	-0.13671254625	0.0962714937500002	0.0869345502500001	-0.0730889732499997	0.0773930065000002	0.0157062574999999	-0.32561364725	-0.14224624675	-0.422386155499999	-0.14524117875	0.32229999675	0.0878088600000001	-0.1380047165	0.47522031675	0.4165667465	-0.23465284325	0.538142426250001	0.6235789705	0.0100972292500002	0.3247613395	-0.44195602975	-0.0616426994999997	-0.11380675175	0.3395749705	0.0080619842500001	0.3285801725	0.84815486375	0.19261102425	-0.0399415324999998	0.49414234375	0.16586037775	-0.0402163122499998	-0.175325651	0.15722429825	0.67944781725	-0.109047401	-0.0248387807499997	0.6294174295	-0.2419599025	-0.0310650877499996	0.417159594500001	0.14075020275	0.48742889425	0.0489933335000001	0.14795966675	-1.468418927	-1.886548628	0.0519282744999999
YWHAE|14-3-3_epsilon-M-C	-0.48892357475	-0.8724040775	-0.3593692435	0.0282061550000001	0.43380542975	-0.04796817525	0.2823310775	-0.0450214182499999	0.0104857035	-0.744444742	-0.1592627465	-0.21623923125	0.0552533517500001	-0.07733206125	-0.0289166565000001	0.0832847095000001	-0.18233835125	-0.28069407475	-0.18075604725	0.1083990315	-0.15845941525	-0.0473460214999998	-0.25805797525	-0.16808120125	0.1127673865	0.01709760375	-0.50889817575	-0.153261032	-0.0782309754999999	0.2505014085	-0.15319525075	-0.284848394	-0.119395756	-0.2199091905	-0.148964074	-0.23235552725	0.18005342725	-0.2967403715	-0.2396111315	0.4438575985	-0.05713671375	0.19978187875	0.1136048865	-0.0401705700000002	-0.270781896	-0.096791781	-0.38997147725	-0.184739656	-0.233751695	-0.209680568	0.034009459	0.16923920925	-0.06067257675	-0.0617773102500001	0.22639536925	-0.0707784290000001	0.0723452790000002	0.13304891925	-0.091288744	0.01449936325	-0.0616613297499998	0.36493504675	0.09595653325	0.40372444975	0.27506949425	-0.11959631225	0.0789886305	0.0302743577500001	0.0917584700000001	0.097252395	0.0344581117500002	0.0175080579999999	0.0344415655000001	-0.1094321875	0.3175250955	0.16527105175	-0.27532383225	0.33484286975	0.295133989	0.24174209025	0.0379836112499999	0.3699603725	0.21991056925	-0.0343323347500001	-0.18645521175	-0.14528334775	0.0968259447499999	0.0760781552500001	0.021717943	-0.00201031500000004	0.17235637525	0.00901856575000015	0.109274515	-0.04148207625	0.14287701825	-0.0877479944999998	0.0096415110000001	0.30348911625	0.00470259600000011	0.0410430312500001	-0.10509087025	-0.039964629	0.25337597075	0.43608301	0.0821864457500001	0.0673819630000002	0.0802051257500001	0.114903468	-0.0155631142500001	0.154899521	0.26776613025	0.23723679775	0.037076811	0.15474943325	-0.11328483675	0.08455592025	0.0653336985000003	0.26848094875	0.47438237475	-0.0108457195000001	0.04961719275	0.173302517	-0.00573225300000013	-0.0415612342499996	0.160040731	0.0181288822500001	0.35166356975	0.14631943	0.11327367625	-1.611751466	-1.827585899	0.049832432
YWHAZ|14-3-3_zeta-R-V	0.41062013325	0.5228564155	0.3297979755	0.149022352	1.32626379675	-0.69435559625	-0.2239228875	-0.18232643725	-0.4272142905	1.354433678	0.4458302835	0.37719876475	-0.39757695825	-0.28756052125	0.6975746585	-0.5911858295	-0.24318369525	-0.19515127775	0.55046830675	0.7816345635	-0.38475366725	0.4682235955	-0.22378317825	0.16680409475	0.0599351795000002	0.39281802275	0.53635316925	-0.200135133	-0.2124546475	0.8005919955	-0.26796413075	-0.232709917	0.103939338	-0.0999458665000001	0.408879647	0.54724631375	0.58533758825	0.3142809635	0.5869811095	1.1033627235	0.16490922525	0.67855801675	-0.4380044045	0.652654546	0.960168483	0.868491151	0.66951039675	0.35296602	-0.154097201	1.389257728	0.507771746	-0.03206628475	-0.77092165075	-0.52426338425	-0.20077779075	-0.543125038	-0.315245862	-0.0679750587499999	-0.467310783	-0.43875488175	0.25361705825	1.01321000975	-0.62938817675	1.40636827775	-0.43874663175	-0.45507984625	-0.1804970395	-0.43776787025	-0.307029092	-0.714841848	-0.36774772025	-0.159257719	0.0634857355	-0.2891508575	0.5153793055	0.56903962975	-0.79789374725	1.01353555175	-0.00247943599999978	0.22472922025	-0.46776852475	0.2746638905	0.51848041425	0.0154042172499999	0.15861522925	0.08478789825	-0.26074388125	0.36045714125	-0.133462975	-0.36447436	0.29994335825	-0.31086635325	0.260781604000001	-0.13101424625	-0.22439112075	-0.2601938975	-0.514576469	-0.0258821047499997	-0.470214372	-0.50227260175	0.374615347750001	-0.135581111	-0.52092608325	-0.205501576	-0.34662996925	-0.0957720119999999	-0.52413373825	0.478839975	0.19988189675	0.394493339	-0.0293966817499999	0.15597166875	-0.4238916	0.0226319932499999	0.91995935425	-0.22446974575	-0.0836479724999998	-0.0745332832500001	-0.17028830125	0.2003444385	-0.28952254625	-0.484293782	-0.225681575	-0.17118384725	-0.37625837	-0.33483105875	-0.16881987025	0.0462501329999998	0.03639868025	2.642203805	3.101038509	-0.485977743
EIF4EBP1|4E-BP1_pS65-R-V	-0.39480516175	0.9148563055	-0.1228073075	-0.04696459	-0.59584568425	-0.56621761625	-0.1259829795	-0.0979188152499998	-0.1597815275	0.389306998	0.3194326015	0.11398166875	-0.18477525725	0.68394094675	0.0547044154999999	-0.2432152855	0.45123974075	0.0908124262499999	-0.624761502250001	-0.2741546255	-0.14187830925	0.3318645885	-0.02386741225	0.18034499775	0.1804938025	0.0727237557500001	-0.21647954775	0.011355825	-0.1217337655	-0.3342065785	0.21116247525	-0.156665878	0.164139985	0.0394697785000001	0.0699776610000001	0.30866531275	-0.43024188975	-0.0337302765	0.0666744465	-0.1511230035	-0.37953971575	-0.45353012025	-0.0306491445	-0.304059341	-0.0438201419999999	0.313372519	0.17717396775	0.133400594	-0.073979325	0.258487471	-0.310634134	1.04747217725	-0.12214642375	-0.08937603225	-0.15034515575	0.319080252	0.182940143	0.46144084825	0.264751237	-0.01504653775	0.00754497525000014	-0.00831123124999988	0.0271560782500001	0.46007855075	-0.0770803557500002	0.27734060975	-0.2606780785	0.0168168857500001	0.0242498360000001	0.124478784	0.62413250675	0.072713995	0.2103840465	-0.1922417045	0.1691973215	0.13768132975	-0.39265298825	-0.11742102925	0.217254196	-0.19540270775	-0.000404955749999991	-0.0856545884999997	-0.01553263575	-0.31379226775	-0.30215571675	-0.31558291275	-0.38004956025	-0.39107453875	-0.417249342	1.752741189	-0.0710992527499998	0.72078745275	-0.114448537999999	-0.23451854725	0.16779311425	0.0145247345000001	0.0221939810000001	-0.16355605975	0.12294939	0.30022124825	-0.588937945249999	-0.428611497	0.13225106375	-0.382309299	0.06537828275	0.0204797860000002	-0.20075744725	-0.258658903	-0.56541486425	-0.0866801029999998	0.42840022625	-0.33017967125	-0.1576507	-0.15392092475	0.0689091822500001	-0.11157126275	0.5274266875	0.76415415575	1.80079290275	0.3091300025	-0.20152655925	0.527834847	-0.316834769	0.24965117475	2.381349585	-0.0173383577499999	0.0454892927500001	0.113411654	-0.36815025975	-0.39143043	-0.224116664	-0.308371833
EIF4EBP1|4E-BP1_pT37_T46-R-V	-0.15194380625	-0.322975501	-0.629625759	0.0570330304999999	-0.83937342975	0.43681173225	-0.525224398	-0.12987047175	-0.0947581070000001	0.01098171	-0.698644535	0.42503913625	0.12745640925	-0.32933509775	0.0452860289999998	-0.547226843	0.42027506425	0.60064382175	-0.0879221077500003	-0.283823026	-0.0920514687499999	0.0591581730000001	-0.0341547847500001	0.23921424625	-0.0704406059999999	0.32020072525	0.17603727775	0.8976777115	-0.11354282	0.229710964	0.46508093475	-0.2363747245	-0.3593310445	1.014465026	-0.0390351145	-0.43359700175	0.24722606475	0.378554028	0.41463857	1.61376298	-0.14993584025	-0.37519425175	-0.394856552	0.0877830274999999	-0.0549406815	-0.4633389675	-0.74119453375	-0.1517812875	0.4362060595	-0.7110844565	0.6604308985	0.06583520775	0.75072272075	0.39008690425	-0.29496406425	0.8396481665	0.4617504615	0.98228044375	0.0377337314999999	0.14536768975	0.53570186975	0.59580127925	-0.50906705925	1.43394181225	0.24772750575	0.44830296025	0.161707415	0.41984863325	0.5168494095	0.0844329345000001	0.15467254825	0.1429894685	-0.112133358	0.934617144	-0.446561948	0.04696183825	1.06878762325	-0.91339171075	1.0143727035	-0.41336861325	-0.0294543152500001	0.656782129	-0.84189329425	0.34047689975	-0.17393214325	-0.20402414425	-0.90623239475	0.17425856475	-0.9900414355	-0.6690511225	0.15415412975	-0.80787099675	-0.187326391499999	-0.65497726475	0.24882923575	0.309395004	-0.5606054385	-0.93169006025	0.0996215225	-0.04612159725	-0.628135198749999	-0.0542436295	-0.27935438375	-1.5344330245	0.27139157525	0.2352177455	-0.38280886175	1.0263222005	-0.02292604075	0.7796179325	-0.15613275125	-0.0194799717499998	-0.2102928935	-0.23032198825	0.61285922975	-0.68138445825	-0.631700663	-0.21577026875	0.0385407412499998	0.670885235	0.13732929625	-1.3714380235	-0.0675193145000001	0.19394731825	-0.2550786915	-0.23753051525	-0.61604965975	-0.2971411005	-0.64505714125	-0.372202454	0.329664416	0.2520855435
EIF4EBP1|4E-BP1_pT70-R-C	0.06425903725	-0.1759231625	0.1521305915	-0.054038995	-0.23559949725	-0.05588008425	-0.3503111725	0.00414806275000007	-0.0667193565000001		-0.1671391025	-0.09828729425	0.08611606275	-0.34125203125	-0.00733159350000012	-0.1152432915	-0.0391953632500001	-0.0859867547500002	-0.11708735825	-0.0119361784999999	0.14415100175	0.1711614295	-0.13349510125	-0.12474949125	-0.0309052664999999	-0.00929662824999994	-0.13726295775	-0.0913297010000001	0.1002870615	0.0567574285	-0.04013802275	-0.0896072789999999	0.00130306899999993	0.0552105095	-0.117091662	-0.30715588025	-0.09803604575	-0.1156813785	0.0127404335	0.1162535175	-0.16223625475	0.09868996175	-0.1348257275	0.100807989	0.06202195	-0.0866619140000001	-0.07338259125	-0.096252956	-0.030516578	-0.0491185490000001	-0.175676882	0.20899061825	0.0132519622499999	-0.05450180325	0.01853772325	-0.021980756	-0.234243541	-0.00119503775000002	0.00430046899999992	0.12915449925	0.00944792025000007	0.01069422375	-0.28352539275	0.27462260875	0.0706538082499997	-0.13441611225	-0.0547452715000001	0.15823831675	0.150959562	-0.041527727	0.13447290475	-0.076237279	-0.0751098465	-0.0824152245	0.1967870015	-0.10478320725	-0.14356668025	-0.15070506725	-0.170331664	0.02715657125	-0.17148380375	0.1602252405	0.19845654125	-0.05022496575	-0.06526692875	-0.16900589075	-0.37843999625	-0.18040376875	-0.381472818	-0.213551766	0.40083823925	-0.0706443562500001	0.246057726000001	0.11620292675	0.12731369525	0.1440981905	0.0591897530000001	-0.29234652175	0.125623373	-0.03932249175	0.15187781075	0.197715434	-0.0812143642499999	0.156279434	-0.10995715625	0.0327287430000002	0.15212325775	0.507235963	0.15249105875	0.281702237	-0.24521073775	0.0653712457500002	-0.236908279	-0.12166333175	-0.18529425275	-0.11697874575	-0.0442956074999998	-0.0371338952500001	0.39082401075	0.1085556475	-0.09058421725	-0.276455776	0.248655708	0.0877094937500003	-0.0439200219999996	0.01933011325	-0.21589937525	0.011377935	-0.36093558175	0.148067467	0.240785609	-0.022987255
EIF4EBP1|4E-BP1_pT70-R-V										0.354287374																																																																																																																										
EIF4EBP1|4E-BP1-R-V	0.00369886075000009	-0.706698188	-0.184145158	-0.0688196294999999	0.44941195625	0.13695698525	0.258949008	-0.0984357197499998	-0.122790348	0.416242025	-0.239411016	-0.43747143075	0.20328538925	-0.47550332975	-0.245198347	0.361087935	-0.16017650375	-0.22385354325	1.46297716325	0.606973736	-0.00488745874999985	0.00064912000000017	0.19110235025	-0.53510494175	-0.25064912	-0.25674215975	0.15535519175	0.1419875915	-0.191301168	0.196317602	-0.26513909125	-0.0937680984999999	-0.0485648725	-0.258538745	0.2894045555	0.43956158925	0.46280451075	0.0269947560000001	0.44076594	0.438513463	0.34255037675	0.48734099825	-0.264142652	0.7293575315	0.3423759235	0.0154835484999999	-0.10176702175	-0.0301400405	-0.00648759549999994	-0.0879569784999999	0.3111312105	0.67181466675	0.09634919175	0.54522968525	-0.12398370825	-0.3424697925	-0.1099862035	0.23554289275	-0.0989560875000001	0.35090512775	-0.21640776925	0.28676645125	0.26439644075	0.51714954225	0.11633341575	0.0305775782500004	0.15881797	-0.10141182975	0.1565764215	-0.2109150605	-0.33489446275	-0.2289234995	-0.388060888	-0.237139572	0.443476976	0.14109461525	-0.0183625917499999	0.22643203325	0.1271117385	0.49925869875	-0.01401604425	0.028553957	0.50824916075	-0.33913556825	-0.22027963625	-0.27732997525	0.18056403325	-0.47941295925	0.3309284365	-0.5663862545	0.97515025675	-0.52523399875	0.0798480945000006	0.14283080725	0.0448832807500002	0.325946426	-0.3422284885	-0.29129397525	0.3311406865	0.0205445477500001	0.854958769250001	0.2294363245	0.0579780962500001	0.2683835625	0.08177416125	0.0688375275000002	0.23268691925	0.5620244225	-0.08860598775	0.2750457885	0.0883089317500002	0.33075865825	0.1481706065	0.13094924875	-0.0668670522500001	0.11888521075	-0.184397042	-0.16116790375	-0.50075976775	0.0825572899999999	-0.15230615075	-0.3069430775	0.1793236245	-0.10766536075	-0.9426948715	-0.0528185302499999	0.21109651125	0.0352113395	-0.0998451872499999	-0.197597724	0.202519854	-0.1614543145
TP53BP1|53BP1-R-C	0.84192684675	-0.62244434	-0.15372704	0.0068732205	-0.41084997475	1.49203190725	0.81895099	0.0312771842500001	0.544549525		-0.0507304270000001	-0.24540626175	0.37863810425	0.36996480925	-0.022236471	0.491559182	0.21449402425	0.25069934875	0.51003008325	1.024305193	0.77321908725	-0.117805887	0.95005253925	0.69494594225	0.162742411	0.84529159625	0.75895977575	0.6647498085	-0.0393688429999999	-0.172475886	0.59615454475	-0.0211562024999999	0.3921659145	0.563525942	0.2913993465	-0.01880490575	-0.27985269725	0.617245897	-0.796299756	0.364155785	1.03434566975	-0.41180045475	-0.00370297099999994	-0.8661421645	0.8442815985	-0.8398598035	0.25352498625	0.2498125635	0.7328382285	0.0849616575	0.2387206675	-0.14452556825	0.16867931675	0.45576594425	-0.24617478525	-0.0229386275000001	0.0111031855000002	-0.08473610725	1.1929373685	0.41591578275	-0.60459305525	-1.09976433375	0.03024350875	-0.94013867275	0.18019453975	0.14651042025	-0.255278716	0.49927297825	-0.2837647645	-0.4437600485	-0.19309507375	-0.0930225805000001	-0.641461444	-0.082822986	-0.594394295	-0.89646597675	0.61561856025	-1.54992025475	-0.9207842245	-0.89720425225	0.34833329375	-1.377034932	0.77481315075	0.50706270575	0.24919538175	0.21552165475	0.95265456525	-0.37480475125	-0.5255277305	-0.1843170085	-0.29837680125	-0.26908428975	0.311800998500001	0.91802767325	-0.33948050925	0.453353593	0.4836470085	0.48277249475	0.0211068855000001	0.98922409775	1.02968560425	0.5129723895	-0.25152108975	-1.2821050835	1.19941304225	1.1717913035	1.13075924325	-0.8213498635	-0.07985193575	-0.3411473895	0.28042480975	-1.59552974175	-0.3350624755	-0.05364575725	-0.00925436224999987	0.12037645675	-0.23486126	-1.31179849575	-1.56103651975	0.683593862	-0.00269328974999994	-0.1304067515	-0.0316094325000001	0.50624779225	-0.3280369315	0.23686919975	-0.73375424475	-0.2870919265	1.24128071575	2.169726644	2.080761478	1.0528927535
TP53BP1|53BP1-R-E										0.123640222																																																																																																																										
