GeneSymbol	Description	Organism	Chromosome	Locus	TCGA-AF-2691-01A.41	TCGA-AF-2692-01A.41	TCGA-AF-3400-01A.41	TCGA-AF-3913-01A.12	TCGA-AG-3574-01A.22	TCGA-AG-3580-01A.22	TCGA-AG-3584-01A.22	TCGA-AG-3593-01A.22	TCGA-AG-3594-01A.12	TCGA-AG-4007-01A.22	TCGA-AG-A002-01A.23	TCGA-AG-A008-01A.23	TCGA-AG-A00C-01A.23	TCGA-AG-A00H-01A.22	TCGA-AG-A00H-01A.31	TCGA-AG-A00Y-01A.12	TCGA-AG-A011-01A.32	TCGA-AG-A014-01A.12	TCGA-AG-A015-01A.51	TCGA-AG-A016-01A.23	TCGA-AG-A01J-01A.22	TCGA-AG-A01L-01A.22	TCGA-AG-A01N-01A.23	TCGA-AG-A01W-01A.23	TCGA-AG-A01Y-01A.43	TCGA-AG-A020-01A.23	TCGA-AG-A026-01A.71	TCGA-AG-A02N-01A.31	TCGA-AG-A02X-01A.32	TCGA-AG-A032-01A.31	TCGA-AG-A036-01A.22
A1BG	alpha-1-B glycoprotein	Homo sapiens	19	19q13.4	1	14	29	12	0	9	4	8	8	0	6	10	3	5	8	11	7	9	7	2	11	9	4	4	9	10	10	5	9	3	6
A1CF	APOBEC1 complementation factor	Homo sapiens	10	10q11.23	2	1	0	0	0	1	1	0	0	2	0	1	2	0	2	0	0	1	2	1	0	0	3	1	0	0	2	0	0	0	3
A2M	alpha-2-macroglobulin	Homo sapiens	12	12p13.31	29	79	160	36	7	41	80	70	166	34	103	69	19	94	93	78	49	135	42	24	116	47	33	59	54	59	44	42	51	48	44
AAAS	achalasia, adrenocortical insufficiency, alacrimia	Homo sapiens	12	12q13	2	3	1	1	2	6	1	0	2	2	2	4	3	2	1	1	3	6	1	3	3	2	4	1	0	7	2	5	4	3	2
AACS	acetoacetyl-CoA synthetase	Homo sapiens	12	12q24.31	0	1	2	0	1	0	1	0	0	1	2	1	3	0	2	4	1	0	3	1	0	2	0	0	0	1	0	4	0	0	1
AAGAB	alpha- and gamma-adaptin binding protein	Homo sapiens	15	15q22.33-q23	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	1	2	2	0	0	1
AAK1	AP2 associated kinase 1	Homo sapiens	2	2p14	1	3	0	0	2	1	2	1	2	1	1	0	0	3	2	1	0	0	1	0	1	0	5	0	0	0	1	0	0	0	1
AAMDC	adipogenesis associated, Mth938 domain containing	Homo sapiens	11	11q14.1	0	1	1	0	1	0	2	0	0	4	0	1	2	0	1	1	3	1	0	1	1	0	3	0	4	0	1	1	1	3	4
AAMP	angio-associated, migratory cell protein	Homo sapiens	2	2q35	1	0	0	0	0	0	0	1	1	0	0	2	1	0	1	1	0	0	1	0	0	1	5	1	1	0	1	1	0	1	0
AAR2	AAR2 splicing factor homolog (S. cerevisiae)	Homo sapiens	20	20pter-q12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	alanine and arginine rich domain containing protein	Homo sapiens	8	8q24.11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0
AARS1	alanyl-tRNA synthetase	Homo sapiens	16	16q22	15	34	17	30	38	30	27	22	35	16	24	26	10	27	36	26	21	36	37	22	20	20	25	14	20	13	27	29	11	10	21
AARS2	alanyl-tRNA synthetase 2, mitochondrial	Homo sapiens	6	6p21.1	4	2	0	0	1	2	1	1	0	1	1	2	2	2	0	3	3	1	2	2	1	2	7	1	0	0	3	2	1	0	3
AARSD1	alanyl-tRNA synthetase domain containing 1	Homo sapiens	17	17q21.31	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Homo sapiens	11	11q22	0	1	1	1	0	1	1	1	2	0	1	0	3	0	0	2	2	2	2	0	0	1	1	2	0	0	1	1	0	1	0
AATF	apoptosis antagonizing transcription factor	Homo sapiens	17	17q12	2	1	0	3	0	2	1	3	2	2	2	1	2	2	2	3	0	2	2	1	1	1	2	2	0	3	1	3	0	3	2
ABAT	4-aminobutyrate aminotransferase	Homo sapiens	16	16p13.2	1	2	0	0	1	1	3	4	0	5	0	0	1	1	3	2	1	5	1	8	1	1	3	0	1	2	3	0	0	3	2
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Homo sapiens	7	7q21.12	1	1	1	0	0	0	6	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	5	0	0	2	0	0	1	0	1
ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	Homo sapiens	1	1q42.13	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	2	0	0	0	3	0	0	0	0
ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	Homo sapiens	2	2q36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
